state,total_enroll,expan_enroll,expansion,id,year,total,male,male_u6,male_u6_with,male_617,male_617_with,male_1824,male_1824_with,male_2534,male_2534_with,male_3544,male_3544_with,male_4554,male_4554_with,male_5564,male_5564_with,female,female_u6,female_u6_with,female_617,female_617_with,female_1824,female_1824_with,female_2534,female_2534_with,female_3544,female_3544_with,female_4554,female_4554_with,female_5564,female_5564_with,black_total,black_under6,black_under6_with,black_617,black_617_with,black_1824,black_1824_with,black_2534,black_2534_with,black_3544,black_3544_with,black_4554,black_4554_with,black_5564,black_5564_with,white_total,white_under6,white_under6_with,white_617,white_617_with,white_1824,white_1824_with,white_2534,white_2534_with,white_3544,white_3544_with,white_4554,white_4554_with,white_5564,white_5564_with,male_u6_medicaid,male_617_medicaid,male_1824_medicaid,male_2534_medicaid,male_3544_medicaid,male_4554_medicaid,male_5564_medicaid,female_u6_medicaid,female_617_medicaid,female_1824_medicaid,female_2534_medicaid,female_3544_medicaid,female_4554_medicaid,female_5564_medicaid,public,public_perc,public_only,public_only_perc,medicaid,medicaid_perc,public_under138,public_under138_perc,public_above138,public_above138_perc
Oregon,,,Adopted,41,2019,4175002,2056052,140376,134384,328252,315722,181953,159255,269034,225282,283640,248502,253499,226629,254924,235345,2118950,131225,127076,314533,299689,180375,162990,261560,236402,288150,262762,252950,231605,277590,257819,74882,5463,5189,13054,12120,7909,7096,12967,11938,12467,10584,7706,7486,8182,7540,3491340,212358,204211,500249,480000,282417,251753,428154,374702,466492,419165,428128,388160,472685,440445,49578,123549,32100,46860,38264,35809,43627,55723,111291,42878,61056,54435,41109,50396,1606220,38.5,821972,25.6,22.1,15.4,265053,67.4,1121947,32.7
Pennsylvania,,,Adopted,42,2019,12593136,6133750,427544,406973,1001584,957259,562668,502917,752055,658293,730713,660247,775972,718015,862640,814843,6459386,408468,389032,965910,922335,549923,507065,752376,689329,757490,706457,809600,754927,927233,880833,1396456,116831,112996,271236,262615,151392,135585,199206,171836,172102,159146,161934,146601,161028,150034,10057767,603128,569736,1427868,1359412,831565,763927,1141583,1036259,1157291,1071012,1293591,1210583,1539301,1464377,172335,376487,84103,100355,93475,92634,126424,162083,350266,110883,170935,146007,126840,146861,4731888,37.6,2567389,22.4,19.7,14.1,682272,71.4,3150278,30.8
Rhode Island,,,Adopted,44,2019,1043753,507994,33122,32578,79524,77557,51609,48000,67948,60731,60258,54905,64887,62438,71557,69725,535759,31321,30543,76309,75417,53071,50105,63877,58707,61900,59120,69597,65351,78232,76180,77579,5212,4785,13718,13221,11700,10532,12797,10579,10303,9161,9630,8307,7296,7223,820601,43518,43108,109462,107666,76679,73397,93306,85444,92868,88282,112027,108055,130037,126959,12244,26513,8726,13587,8882,10208,12360,10742,22835,8299,16599,12345,11496,11443,377550,36.2,205459,22.8,18.9,13,59922,75.1,255396,29.8
South Carolina,,,Not Adopted,45,2019,5048513,2409666,171320,163677,426038,400015,220783,176834,275681,209389,290694,229321,296622,248036,320867,280953,2638847,172415,163322,412200,386129,222561,187719,304413,254936,321148,271877,329051,289410,367659,326497,1328154,94203,89842,242444,233523,139973,107506,165037,133729,168097,135927,158754,135282,172394,148924,3376504,207341,199002,498105,469438,271368,232787,371864,301721,396601,335601,432983,375653,488245,436276,87700,170877,20787,22550,21658,23079,36556,82079,157886,36311,55692,42364,33844,42085,1875283,37.1,1043459,23.3,20.1,13.4,319977,59.6,1239941,31.4
South Dakota,,,Adopted,46,2019,867305,438479,38974,36469,79644,74045,40034,31151,51199,41481,53654,45911,47576,41014,58714,52523,428826,32452,29615,75101,68405,37292,31220,49635,41783,49931,42786,48147,42874,57527,52658,20169,1761,1371,5092,4132,2067,776,3467,2993,3571,3061,2388,2307,785,739,731419,54278,51261,118488,112595,61472,55282,81918,71200,88049,78184,82448,75203,106771,98084,12699,21954,1273,3950,2804,2753,4190,11227,19814,3512,4556,4708,3883,5047,266521,30.7,162822,16.3,15.7,9,55478,53.1,182272,26
Tennessee,,,Not Adopted,47,2019,6719315,3249814,247052,237300,573794,543475,307003,251605,389000,303802,399778,319429,419742,354095,420829,374013,3469501,239029,228575,540338,510391,308261,264698,422999,363103,430088,373561,441275,386925,468840,421060,1108835,89153,86993,209863,201894,116753,96304,153981,122215,140703,118916,138560,118088,135938,122059,5199961,345335,330485,794736,753927,451480,384885,606252,503840,636480,536436,679515,591599,724481,648950,111723,221237,32130,34383,37186,39088,50779,109743,204670,54492,88731,73541,55868,61322,2430922,36.2,1269246,22.7,21,14.2,426945,61.9,1549810,29.5
Texas,,,Not Adopted,48,2019,28514428,14009962,1213271,1091994,2760804,2384200,1383163,950761,1841236,1267758,1913476,1391392,1709314,1326816,1557662,1305772,14504466,1159196,1043749,2674868,2292872,1367738,974435,1854278,1371371,1959285,1474673,1789599,1409986,1677214,1406253,3440265,281797,264483,664552,601319,354664,263367,484309,354631,483551,390987,437560,366246,390965,343824,20958482,1682450,1506856,3890412,3339423,1971257,1381349,2622347,1867693,2754016,2025830,2562757,2001909,2482449,2087004,510894,947852,68210,88135,90162,96077,122379,489231,895408,126609,164858,147953,116213,154509,8076243,28.3,4001649,16.3,17.5,12,1486953,49.7,5088665,22.7
Utah,,,Adopted,49,2019,3178394,1590475,150739,139044,351875,319787,180715,156739,206561,176348,221583,191944,163802,145302,145950,135470,1587919,146309,137523,333643,304595,175449,152157,207725,180033,216927,193406,162245,141639,153252,139345,35746,2938,2588,9548,8215,5239,3681,6322,4741,4584,3800,2800,2485,3050,2282,2776856,254565,238285,589548,545372,298032,264267,350630,306850,385791,345576,285605,256697,271368,253003,30253,48952,9976,12016,12276,9475,9797,30115,50367,8903,15842,15117,9783,12575,657006,20.7,384901,12.8,10.4,6.4,124251,38.1,482443,17.8
Vermont,,,Adopted,50,2019,618064,305961,17734,17422,46334,45381,30910,28213,35352,31847,34958,31344,38097,35003,45907,43107,312103,16511,16176,43963,42958,29741,28306,33279,31178,35358,33267,39713,37793,48340,46644,9330,623,547,1886,1676,1337,794,1882,1610,1163,1163,745,559,997,691,579676,31045,30474,81852,80182,54475,51875,62870,57857,65817,60535,73744,69193,91729,87539,8337,19474,4932,7741,7192,6081,7230,6922,18950,7561,10388,6854,6640,9484,259291,42,138987,24.5,23.1,16.5,39719,77.5,182379,36.3
Virginia,,,Adopted,51,2019,8303671,4019643,307014,296232,704727,666268,377626,320577,476251,395965,520213,448094,515901,461900,527023,483725,4284028,289860,280127,673786,636191,372539,331639,514958,458376,556958,501127,557592,508699,577634,536841,1598877,119765,116967,283844,270784,162008,134983,196313,167775,207168,184302,203682,185337,214288,195263,5566031,362950,349698,846567,803501,472458,425356,641445,561052,690730,615766,729576,667796,795338,743176,93791,185486,26848,42394,35709,38811,40880,92683,178698,48397,71623,60847,46180,51255,2551160,30.7,1466136,17.9,15.6,10.1,425588,60.4,1782060,25.6
Washington,,,Adopted,53,2019,7497453,3719840,280532,271837,614643,593674,331501,287269,518444,446299,506596,448323,458879,419289,465694,435287,3777613,266214,260307,596070,577496,310888,279128,506220,457343,505884,460983,458427,423800,490149,461742,291197,24326,23881,53894,52291,31814,26718,43896,38155,43908,38873,36002,33264,31314,28338,5570021,364704,356206,814852,790299,433565,390989,715839,639140,723721,664376,698471,650485,784933,743960,115200,229553,49472,70783,61120,50311,56403,109742,224687,64302,102298,78002,59269,76222,2641430,35.2,1284693,21,20.1,15,368754,68.7,1872524,29.5
West Virginia,,,Adopted,54,2019,1762052,866148,56451,54778,137109,132239,79882,68816,88860,74134,104901,90209,112099,100541,122067,114758,895904,55678,54297,131633,126132,72022,64883,91490,84395,108360,99406,111664,101044,131495,122038,59117,3107,3107,8873,8603,7416,6660,6924,5854,7828,6424,7812,7361,7616,7327,1645910,101757,99098,244062,233961,137853,120778,167817,147678,198144,176615,211988,190783,240302,224279,29037,59381,16626,19965,20970,22992,24844,30096,60044,19593,33008,31938,25019,27414,837800,47.5,428227,33.6,26.7,19.7,114463,76,514683,38.9
Wisconsin,,,Not Adopted,55,2019,5751404,2845160,200502,192844,487334,468618,266195,234217,330120,285683,347899,311335,353148,325289,403898,381863,2906244,193975,186566,462790,445860,260448,240405,323431,297663,353540,326497,359520,339093,415224,396542,359400,36677,36361,79308,77568,40744,32824,51078,43963,44133,38672,39327,35245,36059,32647,4914002,303432,292089,744966,718428,431478,396229,531903,480934,593539,547626,623884,588978,751349,718585,66660,144789,25480,39166,35757,34108,41605,66073,135532,38929,59680,54338,44248,52371,1907166,33.2,1094731,17,17.4,11.4,326209,65.5,1308133,27.4
Wyoming,,,Not Adopted,56,2019,568859,289287,22580,20955,52117,47158,25335,21039,36018,26541,37080,31503,31900,27570,38018,33411,279572,18472,16244,50143,43710,24351,18891,31934,26521,35118,28438,31252,26837,38359,33916,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,517230,37037,33607,87645,79343,43023,35441,61004,49090,65967,55749,58222,50657,72832,64498,6153,12429,2421,2065,2023,1018,2790,3898,11472,1537,3625,3347,2344,3159,165870,29.2,105893,14.8,13.9,8.2,31039,50.5,119257,25.1
Puerto Rico,,,,72,2019,3169528,1499914,69093,66933,246567,238252,158269,137837,161554,124337,184430,155699,191970,169795,194784,177982,1669614,72859,70405,233242,222532,155997,141049,170733,150632,206018,186960,217600,200083,232115,213474,391999,15285,14884,57492,55462,32721,28694,41284,33425,48158,42026,53022,46790,59817,53710,2037926,92382,89108,293479,281913,195572,176577,211395,175833,246027,219088,258587,234563,276945,254943,48324,145124,69347,66711,70544,73652,79749,45547,136449,78992,87735,88380,89681,98150,1923517,60.7,810002,53.9,43.3,33.7,300447,78.2,519522,37.9
Alabama,,,Not Adopted,1,2021,4957633,2384150,182436,176390,420627,402000,222877,175189,266632,206082,298672,244799,291992,253113,319898,286775,2573483,166672,162050,421021,403071,224632,186105,290462,240624,320812,276219,316197,275939,348030,318659,1278068,98259,94728,245164,235076,130139,100799,157021,117403,164414,139866,151928,135241,156400,140267,3235065,196878,192384,494179,476206,268867,226372,348547,291146,394072,341168,408495,357560,467858,428849,88882,176129,19587,18433,27381,23768,37843,84089,170780,32087,43845,39186,32855,50907,1851375,37.3,1018754,25.6,20.9,13.6,689250,59.5,1144861,30.6
Alaska,,,Adopted,2,2021,702154,357463,29436,26843,67415,62551,32755,25120,44565,33022,47340,40729,41955,37721,44848,39794,344691,27775,25734,62101,56900,27053,21626,47776,39458,49740,44845,38269,34099,44038,38581,18989,1503,1493,2828,2711,2374,2222,2941,2634,3760,3395,1903,1656,1470,1470,414926,27081,25512,62200,59395,29143,23751,52878,44255,58768,53464,51068,47510,62460,56375,12525,29014,6649,8120,8051,6091,7757,12198,22154,5862,11591,10158,6237,8119,263737,37.6,99976,25.5,21.6,17.4,75557,69.9,186921,31.7
Arizona,,,Adopted,4,2021,7174053,3546481,244395,228216,628486,569851,331810,266015,441958,351601,448901,372184,417476,354375,419799,371510,3627572,238877,221831,603783,549712,323753,271067,433941,378340,444580,389241,422938,367724,451453,404778,313887,20905,19527,64738,60384,33567,27599,47654,39867,43484,37898,36679,32863,33995,31032,4184247,224285,213056,563799,527341,323161,281741,454701,397379,483904,438311,484674,444824,595661,550410,97393,234655,60129,68979,65228,61480,62405,106425,224926,70521,102315,85968,66495,74058,2797783,39,1395171,22.9,23.5,15.9,884337,65.8,1891240,32.8
Arkansas,,,Adopted,5,2021,2974701,1457278,114006,108164,268469,252434,141445,113685,164934,129824,182869,152289,171374,149600,184079,167457,1517423,104987,98014,255463,241389,131469,115521,173525,150396,191343,168362,179730,160931,198863,183732,432998,37637,35616,88797,85503,46420,37026,53702,46001,52696,46566,47121,41974,52611,48814,2083501,131341,124728,327253,311887,174756,153122,223447,188128,258496,231268,253716,231286,287374,266031,66024,132921,25876,30467,32660,25834,34837,61253,127669,36319,46164,43414,29944,41567,1322136,44.4,607260,31.6,28.1,20.6,516808,72.1,794500,35.8
California,,,Adopted,6,2021,38724294,19209230,1369419,1332668,3374985,3243889,1762696,1543016,2595851,2240997,2687688,2353534,2434436,2166370,2331468,2160632,19515064,1302983,1269111,3227381,3107772,1739485,1586683,2542520,2320957,2631604,2393757,2444730,2228155,2403061,2255414,2065345,134085,130658,336509,326964,199511,180081,299865,265002,270867,251283,258075,242545,273845,262248,15230205,833144,813135,2023124,1966875,1151573,1068074,1846321,1706364,1976135,1860453,1874488,1785677,2250525,2158759,611466,1457765,440357,515198,471062,426966,449483,566233,1376844,511629,673294,610457,502877,536537,15221879,39.3,6206236,25.7,25.9,20,4777908,69.3,10326677,32.8
Colorado,,,Adopted,8,2021,5715497,2866107,189586,183971,482984,458132,256244,220255,409729,344602,423715,364343,357279,318285,342972,317130,2849390,178305,171379,466730,443023,249102,224175,388297,345950,405544,365082,344003,312109,355190,332237,218502,17401,16958,41674,40718,20764,16612,35460,29862,31116,27844,25658,24088,23668,21999,4032469,225910,220822,583852,563899,328822,299452,559459,502575,571897,527866,497596,465257,541723,511859,73986,163570,40090,52669,52184,40301,46941,66459,155934,52825,71902,58811,44432,53396,1902383,33.3,921526,20,19.9,13.8,495785,62,1393259,28.6
Connecticut,,,Adopted,9,2021,3557526,1735957,109498,108099,285053,276389,163837,150491,204099,179292,217426,188557,222563,208141,251068,240269,1821569,106318,105096,274527,267190,163831,153870,201377,185075,226631,210617,234830,220966,265899,254007,370085,23665,23595,66362,64484,43123,38006,50200,44508,49399,44664,50885,47453,44976,42497,2325763,109934,108725,309892,304095,194785,186649,236382,223077,264537,251478,296339,287002,393764,380192,46626,104348,38026,39090,34861,32599,40198,44498,94769,36661,52058,48024,40425,42622,1339630,37.7,665694,20.8,22.7,16.4,357472,72,971581,32.3
Delaware,,,Adopted,10,2021,987964,474735,33959,32497,76404,73881,40129,36650,53675,45929,58768,51968,55064,51221,67029,61910,513229,31978,30886,79469,76295,40080,37746,58131,53256,61063,56962,59061,55640,75241,69594,203383,14892,14538,37765,36560,18277,17462,23378,20526,26097,24605,26220,24548,27463,25368,601275,31508,29832,76440,73752,41231,39085,63507,58293,67133,62868,69307,66596,97999,91902,15906,26960,6835,9311,10144,8719,10310,13288,29147,9790,14894,9918,9766,11223,396200,40.1,214146,22.8,20.9,15,115563,70.4,277029,34.2
District of Columbia,,,Adopted,11,2021,659979,310917,23913,22988,43260,41522,30784,27717,61129,58226,51201,49187,34582,32744,31422,29792,349062,25240,23802,41374,40559,37148,36098,71455,68613,56452,55114,34495,33499,33780,32647,284594,20645,19121,46468,45389,26455,24118,42385,39052,36626,35142,31171,30145,35355,33955,250410,14818,14765,19597,19386,28284,27525,64795,63456,49004,48403,25033,24883,19565,19211,7124,19397,7242,8360,6671,7184,9000,8516,18093,7108,11245,11256,10809,11114,227924,34.5,88547,33.9,21.1,18.4,94697,75.5,131373,25.8
Florida,,,Not Adopted,12,2021,21465883,10471677,674322,634733,1645978,1517673,846001,652673,1191537,862052,1312719,1026050,1318150,1089302,1416454,1232985,10994206,645195,606041,1568304,1443624,850941,688674,1206956,975079,1351822,1137464,1364698,1165314,1536004,1348251,3187069,242510,230593,619693,576366,319187,236362,426780,321335,411715,330688,392481,326650,376183,332611,12051546,605622,568856,1486568,1386571,819834,687893,1222195,969182,1294688,1095559,1420317,1231960,1855262,1646662,308275,636204,94271,98238,115680,104944,140533,300635,603609,127596,181610,176804,141309,161643,8027891,37.4,4798645,18.4,21.3,11.9,2388425,57,5594884,32.7
Georgia,,,Not Adopted,13,2021,10600385,5109760,394651,375542,978801,912874,482926,362197,608626,447922,663500,521885,665049,552813,630781,549084,5490625,369064,345876,941703,873826,485832,388160,671355,542725,742466,620482,714197,612549,692633,607901,3241221,243888,230177,625455,585460,320065,241326,429651,330112,447035,370324,416804,361508,385361,330918,5508911,328652,313312,856927,808881,459865,381817,620646,501426,677224,576259,728959,635143,782193,696859,181330,365333,37186,43786,43506,41657,59485,168222,346829,68034,95728,83038,62856,77726,3436744,32.4,1750382,19.5,18.8,12.6,1160456,55.5,2247356,26.8
Hawaii,,,Adopted,15,2021,1381713,677814,49255,47222,115464,112844,47975,43281,79672,72792,86831,79497,81714,78558,88823,84879,703899,46344,45056,107071,104057,50235,48297,82892,77485,92390,89124,83192,80217,91128,87272,21275,2403,2133,3501,3501,1312,1156,4013,3741,2775,2775,2637,2637,2107,1846,291580,13781,13011,32901,32035,17641,16641,33272,31206,39092,36278,34383,32399,44842,42494,17154,43707,10515,16713,13371,11599,12462,17418,41174,9804,18399,16188,13425,14283,549839,39.8,282618,21.3,19.6,14.3,135132,64.9,409397,35.3
Idaho,,,Adopted,16,2021,1879248,938016,73791,69220,179952,167912,82194,69377,110582,92054,124063,106999,108435,95076,111411,97937,941232,65744,61371,178799,164671,80413,71011,108066,95025,125343,113918,106143,94109,114304,106036,13191,954,954,3734,3088,2007,1453,1545,1272,2236,1652,1173,1173,1001,1001,1530191,107440,100456,276059,260330,125238,112633,170582,150575,199035,182734,171982,156251,196101,179842,29474,62058,11163,19630,16579,9983,14092,26757,61025,15061,23568,23803,14229,17962,691085,36.8,343362,23.4,20.8,14.2,209943,65.4,474919,30.8
Illinois,,,Adopted,17,2021,12495329,6140340,441848,429149,1073092,1036550,559348,486330,752324,639125,823855,716644,779073,699082,798512,735571,6354989,413799,402038,1039351,1005140,552190,500726,761851,686345,832563,754542,787849,720585,834154,779166,1664656,126927,121514,306450,294007,168324,146916,222486,189228,205985,182814,197681,180214,205619,189738,7671712,451216,439484,1124505,1094119,610320,564945,875124,800035,984263,918269,958771,904549,1136929,1078190,176436,386658,85448,102061,98190,89160,100114,165127,371975,115775,157814,146419,106634,123469,4367460,35,2181785,19.8,21.2,15,1441703,67.5,2895779,28.3
Indiana,,,Adopted,18,2021,6707875,3307890,252958,239125,609066,571848,320727,275510,387662,329928,425589,377687,399957,360909,424018,390677,3399985,243199,227885,574522,540754,317834,287034,395026,351826,426929,387474,408291,373424,438785,412549,579821,54438,52707,117087,108466,57255,49695,81456,68428,76318,66258,66298,59695,62279,56677,5238311,345409,322700,837626,788828,475135,427949,592218,521639,648220,593531,647406,595194,732345,686908,106506,213846,39682,53420,58927,45262,53823,101822,194456,61008,92462,81041,58457,72741,2410128,35.9,1211110,22.4,21.1,14.6,806047,66.9,1578586,29.3
Iowa,,,Adopted,19,2021,3151182,1579054,119317,114880,285034,276646,157569,140817,175972,157185,203534,186183,179331,167421,204705,194949,1572128,109188,106197,268210,257820,150519,140934,170731,161796,198325,185519,173167,164241,207110,198404,110646,13255,12849,24868,24866,14939,12550,13767,11863,16831,15172,11554,10885,8398,8076,2661835,174766,168847,426357,413817,245666,229898,283122,265604,332554,313327,304744,289578,375205,359323,51602,98785,21332,26464,28244,20257,30219,47091,91576,32891,43726,37423,23131,30922,1167225,37,598906,20.4,20.4,14.4,359079,70.1,799359,30.9
